Term,Ses,Subject,Catalog,Sec,Class Nbr,Career,Course Name,Topic Name,School,Dept,Instr ID,Class Start Date,Class End Date,Mtg Start,Mtg End,M,T,W,Th,Fri,S,Su,Bldng/Room,Enrl Cap,Wait Cap,Class Stat,Min,Max,Component
2228,S,IES, 101,01,1001,UGRD,Self and Identity,,CES,EDUC,621,8/29/22,12/17/22,2:30:00 PM,3:45:00 PM,,T,,Th,,,,RH 003,24,100,Active,3.00,3.00,LEC
2228,S,IES, 101,02,1002,UGRD,Self and Identity,,CES,EDUC,857,8/29/22,12/17/22,11:30:00 AM,12:45:00 PM,,T,,Th,,,,AF 206C,25,100,Active,3.00,3.00,LEC
2228,S,IES, 101,03,1003,UGRD,Self and Identity,,CES,EDUC,221,8/29/22,12/17/22,1:00:00 PM,2:15:00 PM,,T,,Th,,,,SC 327,25,100,Active,3.00,3.00,LEC
2228,S,IES, 102,01,1004,UGRD,Social Construction of Differe,,CES,EDUC,744,8/29/22,12/17/22,8:30:00 AM,9:45:00 AM,,T,,Th,,,,RH 001,24,100,Active,3.00,3.00,LEC
2228,S,IES, 102,02,1005,UGRD,Social Construction of Differe,,CES,EDUC,744,8/29/22,12/17/22,10:00:00 AM,11:15:00 AM,,T,,Th,,,,RH 001,24,100,Active,3.00,3.00,LEC
2228,S,IES, 102,03,1006,UGRD,Social Construction of Differe,,CES,EDUC,744,8/29/22,12/17/22,11:30:00 AM,12:45:00 PM,,T,,Th,,,,RH 001,24,100,Active,3.00,3.00,LEC
2228,S,IES, 103,01,1007,UGRD,Philosophy of Helping,,CES,EDUC,780,8/29/22,12/17/22,1:00:00 PM,2:15:00 PM,,T,,Th,,,,RH 001,24,100,Active,3.00,3.00,LEC
2228,S,IES, 103,02,1008,UGRD,Philosophy of Helping,,CES,EDUC,441,8/29/22,12/17/22,2:30:00 PM,3:45:00 PM,,T,,Th,,,,AF 206C,25,100,Active,3.00,3.00,LEC
2228,S,IES, 103,03,1009,UGRD,Philosophy of Helping,,CES,EDUC,554,8/29/22,12/17/22,1:00:00 PM,3:50:00 PM,,,,,F,,,RH 001,24,100,Active,3.00,3.00,LEC
2228,S,IES, 150,01,1010,UGRD,Introduction to Disability Stu,,CES,EDUC,857,8/29/22,12/17/22,8:30:00 AM,9:45:00 AM,,T,,Th,,,,RH 003,25,100,Active,3.00,3.00,LEC
2228,S,IES, 204,01,1011,UGRD,Exploring Theories of Learning,,CES,EDUC,554,8/29/22,12/17/22,1:00:00 PM,2:15:00 PM,M,,W,,,,,RH 003,24,100,Active,3.00,3.00,LEC
2228,S,IES, 204,02,1012,UGRD,Exploring Theories of Learning,,CES,EDUC,,8/29/22,12/17/22,,,,,,,,,,,24,100,Cancelled,3.00,3.00,LEC
2228,S,IES, 205,01,1013,UGRD,Learn Accr Bound: Power of Cr,,CES,EDUC,780,8/29/22,12/17/22,2:30:00 PM,3:45:00 PM,,T,,Th,,,,RH 001,24,100,Active,3.00,3.00,LEC
2228,S,IES, 206,01,1014,UGRD,Schools in Society,,CES,EDUC,901,8/29/22,12/17/22,1:30:00 PM,4:20:00 PM,,,W,,,,,OFF CAMPUS,25,100,Active,3.00,3.00,LEC
2228,S,IES, 206,02,1015,UGRD,Schools in Society,,CES,EDUC,837,8/29/22,12/17/22,2:30:00 PM,3:45:00 PM,M,,W,,,,,SH 205,24,100,Active,3.00,3.00,LEC
2228,S,IES, 207,01,1016,UGRD,Walt Disney and Charles Darwin,,CES,EDUC,346,8/29/22,12/17/22,8:30:00 AM,9:45:00 AM,,T,,Th,,,,AF 202,95,100,Active,3.00,3.00,LEC
2228,S,IES, 207,02,1017,UGRD,Walt Disney and Charles Darwin,,CES,EDUC,346,8/29/22,12/17/22,10:00:00 AM,11:15:00 AM,,T,,Th,,,,AF 202,95,100,Active,3.00,3.00,LEC
2228,S,IES, 301,01,1018,UGRD,"Organizatio, Ethics, & Society",,CES,EDUC,521,8/29/22,12/17/22,11:30:00 AM,12:45:00 PM,,T,,Th,,,,DH 103,25,100,Active,3.00,3.00,LEC
2228,S,IES, 301,02,1019,UGRD,"Organizatio, Ethics, & Society",,CES,EDUC,521,8/29/22,12/17/22,10:00:00 AM,10:50:00 AM,M,,W,,F,,,RH 003,25,100,Active,3.00,3.00,LEC
2228,S,IES, 302,01,1020,UGRD,"Info, Comm & Man:Theo&Prac Is",,CES,EDUC,124,8/29/22,12/17/22,4:00:00 PM,6:50:00 PM,,T,,,,,,SH 201,20,100,Active,3.00,3.00,LEC
2228,S,IES, 303,01,1021,UGRD,Educ Through Life Transitions,,CES,EDUC,837,8/29/22,12/17/22,10:00:00 AM,11:15:00 AM,,T,,Th,,,,AF 206C,25,100,Active,3.00,3.00,LEC
2228,S,IES, 314,01,1022,UGRD,"Adult Learn: Theo,Prac,Exp/Fu",,CES,EDUC,951,8/29/22,12/17/22,4:00:00 PM,6:50:00 PM,M,,,,,,,SH 201,20,100,Active,3.00,3.00,LEC
